순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot,Base_Raw
1,MU,Micron Technology,$977.50,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.47,0.64,1.09,132.0%,99.8,90,30,30,25,5,4
2,MRNA,Moderna,$158.07,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),4,0.13,0.59,2.17,234.4%,98.7,90,30,30,25,5,4
3,VLO,Valero Energy,$412.53,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.5,1.29,0.93,152.7%,97.5,84,29,30,10,15,3
4,MPC,Marathon Petroleum,$421.96,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.39,1.16,0.94,154.8%,97.3,84,29,30,10,15,3
5,PSX,Phillips 66,$274.21,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.36,1.11,1.34,145.4%,96.7,84,29,30,10,15,2
6,NEM,Newmont,$124.39,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.13,0.77,0.84,112.7%,96.0,84,29,30,10,15,2
7,NUE,Nucor,$265.14,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.33,0.71,0.89,119.0%,94.8,83,28,30,10,15,3
8,ANET,Arista Networks,$199.53,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.43,0.86,1.6,123.0%,94.4,83,28,30,10,15,4
9,NTAP,NetApp,$196.92,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.41,0.85,0.99,138.2%,94.3,83,28,30,10,15,3
10,HPQ,HP Inc.,$34.66,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.62,0.9,1.17,148.8%,94.1,83,28,30,10,15,2
11,CRL,Charles River Laboratories,$281.67,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.15,1.02,0.8,137.4%,93.3,83,28,30,10,15,2
12,APA,APA Corporation,$45.46,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.34,1.23,0.55,122.6%,91.4,82,27,30,10,15,3
13,ADM,Archer Daniels Midland,$88.09,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.45,0.95,0.88,115.6%,90.0,82,27,30,10,15,2
14,INCY,Incyte,$127.62,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.65,0.93,1.09,119.5%,89.8,82,27,30,10,15,2
15,NVDA,Nvidia,$219.34,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.37,0.75,0.98,108.3%,89.7,82,27,30,10,15,2
16,EXPD,Expeditors International,$189.08,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.32,1.01,0.97,116.9%,88.5,82,27,30,10,15,2
17,EBAY,eBay Inc.,$112.90,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.47,1.08,1.35,109.5%,88.3,81,26,30,10,15,2
18,TRV,Travelers Companies (The),$379.49,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.18,0.81,0.85,117.1%,87.5,81,26,30,10,15,1
19,VTRS,Viatris,$17.13,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.43,0.83,0.81,109.9%,87.4,81,26,30,10,15,2
20,AAPL,Apple Inc.,$337.00,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.2,0.74,1.02,115.6%,87.2,81,26,30,10,15,3
21,JNJ,Johnson & Johnson,$270.22,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.28,0.85,1.34,110.6%,87.0,81,26,30,10,15,1
22,GILD,Gilead Sciences,$150.89,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.4,0.97,1.51,111.1%,86.2,81,26,30,10,15,1
23,VRSN,Verisign,$302.05,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.39,0.78,1.03,112.4%,85.2,81,26,30,10,15,1
24,PFG,Principal Financial Group,$115.94,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.49,1.17,0.82,113.5%,84.9,80,25,30,10,15,1
25,MRK,Merck & Co.,$147.15,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.16,0.91,1.53,119.4%,84.7,80,25,30,10,15,1
26,DE,Deere & Company,$685.63,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.27,0.98,1.41,114.4%,84.1,80,25,30,10,15,2
27,ABBV,AbbVie,$264.02,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.37,0.82,1.12,114.9%,83.7,80,25,30,10,15,2
28,CF,CF Industries,$133.82,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.28,0.86,0.92,113.0%,83.5,80,25,30,10,15,2
29,ZBRA,Zebra Technologies,$347.81,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.11,0.72,1.04,131.4%,81.8,80,25,30,10,15,1
30,MET,MetLife,$97.35,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.3,0.82,0.79,116.5%,81.0,79,24,30,10,15,1
31,BIIB,Biogen,$219.05,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),3,0.18,0.87,1.38,110.9%,79.9,79,24,30,10,15,3
32,AIZ,Assurant,$283.81,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.25,1.22,1.07,112.9%,79.7,79,24,30,10,15,2
33,PM,Philip Morris International,$190.48,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.53,0.76,1.03,106.9%,79.5,79,24,30,10,15,2
34,CVX,Chevron Corporation,$211.57,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.34,1.05,0.92,111.9%,79.3,79,24,30,10,15,2
35,TGT,Target Corporation,$159.83,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.25,0.85,1.49,121.4%,78.2,78,23,30,10,15,1
36,LH,Labcorp,$322.73,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.46,0.93,1.0,114.6%,77.8,78,23,30,10,15,2
37,XOM,ExxonMobil,$163.27,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.55,0.88,0.82,107.6%,77.4,78,23,30,10,15,2
38,SJM,J.M. Smucker Company (The),$123.75,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.23,0.98,0.93,114.4%,77.2,78,23,30,10,15,2
39,ELV,Elevance Health,$414.26,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.48,1.21,1.06,113.7%,76.4,78,23,30,10,15,1
40,KO,Coca-Cola Company (The),$88.06,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.2,1.01,0.97,109.1%,76.2,78,23,30,10,15,1
41,MO,Altria,$69.70,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.31,1.03,1.23,103.6%,74.9,77,22,30,10,15,1
42,DXCM,DexCom,$87.93,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.3,0.9,0.78,120.6%,74.3,77,22,30,10,15,1
43,CPAY,Corpay,$404.26,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.28,0.72,0.78,115.4%,73.8,77,22,30,10,15,1
44,COP,ConocoPhillips,$133.19,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.47,1.15,0.81,111.5%,73.0,77,22,30,10,15,2
45,TRGP,Targa Resources,$285.07,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.16,0.79,0.78,109.8%,72.2,77,22,30,10,15,1
46,NWSA,News Corp (Class A),$30.18,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.33,0.78,0.82,114.1%,71.5,76,21,30,10,15,1
47,NDSN,Nordson Corporation,$311.74,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.2,1.14,0.75,107.7%,71.1,76,21,30,10,15,2
48,DVN,Devon Energy,$48.72,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.53,1.2,0.81,107.0%,70.3,76,21,30,10,15,1
49,LITE,Lumentum,$893.61,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),4,0.49,1.01,0.76,108.9%,99.6,75,30,30,10,5,4
50,STLD,Steel Dynamics,$245.35,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.28,0.86,0.93,108.9%,92.7,73,28,30,10,5,2
51,FCX,Freeport-McMoRan,$70.85,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),4,0.16,0.73,1.07,109.8%,90.2,72,27,30,10,5,4
52,KEYS,Keysight Technologies,$331.44,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.68,1.13,0.61,103.1%,87.7,71,26,30,10,5,2
53,GOOGL,Alphabet Inc. (Class A),$347.33,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.32,0.75,1.02,101.5%,86.6,71,26,30,10,5,2
54,GOOG,Alphabet Inc. (Class C),$343.68,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.31,0.77,1.19,101.0%,86.0,71,26,30,10,5,2
55,DELL,Dell Technologies,$588.40,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.72,1.37,0.71,184.8%,99.2,65,30,10,10,15,4
56,AMD,Advanced Micro Devices,$545.09,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.86,0.98,1.28,137.4%,98.3,64,29,10,10,15,4
57,CRWD,CrowdStrike,$245.70,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.96,1.41,1.05,157.2%,98.1,64,29,10,10,15,4
58,HPE,Hewlett Packard Enterprise,$61.04,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.82,1.15,1.07,158.7%,97.9,64,29,10,10,15,4
59,PANW,Palo Alto Networks,$375.06,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.82,0.98,1.2,145.2%,97.1,64,29,10,10,15,4
60,FTNT,Fortinet,$172.58,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.13,0.95,1.4,138.8%,95.8,64,29,10,10,15,1
61,SWKS,Skyworks Solutions,$91.32,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,1.56,1.44,0.9,140.3%,92.9,63,28,10,10,15,3
